mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zcr_mean,tempo,rms_mean,filename,genre
-35.079517,92.976425,-11.348405,44.22534,5.692333,12.1613245,-3.6506727,3.7756393,0.558413,6.3430395,3.708965,6.8364,-0.96569264,56.790485,25.3219,15.638658,18.371073,13.870088,9.131121,9.008838,7.985245,8.154308,8.582777,8.536165,6.6889834,7.751246,0.33703968,0.43658778,0.4051323,0.27980974,0.37909776,0.4222311,0.5738845,0.3221297,0.2739469,0.26353163,0.33521205,0.434366,2131.763153265079,562.4043945877166,4430.064878670424,2229.9094294390507,0.10436255865421827,99.38401442307692,0.24865845,folklore_21.wav,folklore
-297.12683,194.09778,-3.2631624,14.094681,23.889141,5.872932,5.274728,9.453344,5.1144423,4.92527,6.6143804,3.0980055,-0.25264975,65.73785,23.950167,29.057562,15.56328,12.154382,11.3813,9.070095,6.838032,8.466181,7.6426044,8.357422,7.723133,6.874371,0.54561764,0.51037806,0.5235986,0.34682667,0.33614504,0.3404733,0.206768,0.27553523,0.40759295,0.5797707,0.5394233,0.5204879,610.7919838195297,242.0751978644638,1195.776102638835,855.1876033278562,0.027652138157894735,172.265625,0.085745856,folklore_22.wav,folklore
-127.41198,116.44876,7.2947407,42.37553,-1.0316103,17.297897,9.933734,12.946211,-6.776765,-5.4013867,-5.7552834,6.698351,3.765742,47.248405,24.836542,14.169623,9.470435,10.588944,9.5005045,7.7538447,8.124292,8.247162,8.152529,6.8551087,9.375544,9.090434,0.38498196,0.4099657,0.6003854,0.34424233,0.35977903,0.325639,0.20585795,0.17468637,0.25430495,0.51638985,0.38197178,0.33522695,1583.3398175983232,555.9034871138531,3471.5206748560854,2032.313254709171,0.060340904968072755,123.046875,0.15957116,folklore_23.wav,folklore
-99.63192,92.17615,5.4845095,26.5433,-5.546128,3.144158,-7.483223,6.468917,-11.737492,6.0599155,7.0037217,-2.0154715,-6.026625,45.05095,20.211147,18.818333,12.676962,16.840149,11.223359,12.078668,10.254416,11.9230795,8.405811,10.753774,9.436982,9.529388,0.22240524,0.30532488,0.30218542,0.24930008,0.38056633,0.3578793,0.37227023,0.26274973,0.36780235,0.37523654,0.22749463,0.2615249,2166.918047548433,512.7033954802255,4825.662486545811,2428.8300078805,0.08279617356811146,86.1328125,0.1582234,folklore_24.wav,folklore
-186.55167,140.74641,23.823452,54.05271,-1.8568281,15.591099,0.34824455,4.5654373,-13.3325615,8.066361,-4.877215,-2.7337806,-0.27820227,60.494095,33.580936,21.967945,13.122367,17.730896,10.490239,12.017683,9.180886,11.138505,9.728296,10.021458,10.208309,7.9312835,0.3697918,0.30658713,0.3411038,0.27612868,0.17918867,0.21071003,0.21689102,0.35284695,0.38141876,0.3999146,0.4352801,0.3342432,1142.1300104035056,613.1839022454413,2314.227672848539,1647.2236497308104,0.04195704032023994,129.19921875,0.16169254,folklore_25.wav,folklore
-73.16158,98.74819,12.901837,27.33491,4.8871927,8.307959,-7.823475,6.7116504,-7.1223817,6.114591,1.9082874,1.9578389,-2.340981,49.630318,27.48138,17.557522,11.463885,15.801425,10.3654175,11.452149,9.984438,10.876876,8.046448,9.305488,8.274044,10.389167,0.28212097,0.41459566,0.33379084,0.41279438,0.38032582,0.17818676,0.16618879,0.20947927,0.37336364,0.244195,0.20969348,0.29996124,2035.8351630304462,698.3791582611848,4560.005759602361,2420.0630268841246,0.07250787599167957,107.666015625,0.2303018,folklore_26.wav,folklore
-189.41411,113.51865,11.041703,35.88632,3.3197377,8.388479,-7.765037,5.823036,-15.122687,3.4249952,-6.223812,-6.425064,-9.02183,66.58108,24.552357,21.300144,12.801942,16.377,10.542292,11.542963,9.227806,10.176787,10.303809,7.4686375,7.1271954,7.5881042,0.4009682,0.24716868,0.23227467,0.21112701,0.26725146,0.22486967,0.28678253,0.5744814,0.40915322,0.37643805,0.2844801,0.3074612,1639.238388333544,545.6830813271436,3562.9534553079043,2125.6422107887765,0.05774039159249226,95.703125,0.0878564,folklore_27.wav,folklore
-102.87454,104.150375,5.3448224,31.735443,4.650338,15.66846,4.2615967,5.6525116,-9.367415,5.090025,0.036831528,5.2031817,-2.301588,49.37674,26.983496,15.371218,14.663304,14.616158,14.461017,11.567675,9.092159,9.681573,8.311341,8.74284,8.627899,8.257592,0.29987204,0.41983727,0.376786,0.3126045,0.4673905,0.36427522,0.33594757,0.28375864,0.38836437,0.43004766,0.35100916,0.3677879,1881.687262736294,658.3109528361089,4145.4749328802245,2283.4801759258735,0.07485669020897832,103.359375,0.16425037,folklore_28.wav,folklore
-93.81371,105.16577,0.20438388,33.22392,8.058385,13.080088,1.6367085,7.059808,-2.5439994,4.3219423,-3.2732122,0.30589908,-2.95663,42.83759,23.234945,16.255241,14.892343,10.607486,9.365382,7.756614,6.337527,8.230124,7.4332485,6.6807632,6.262446,8.545765,0.41409627,0.32801494,0.42521733,0.47347715,0.30156514,0.2257129,0.34628054,0.69836426,0.43334913,0.2510155,0.27391088,0.31761178,1970.100645023955,581.9438840353525,4380.365179197707,2330.6051133791907,0.08289632413409442,99.38401442307692,0.13895078,folklore_29.wav,folklore
-101.05745,104.66745,-11.577294,25.83029,6.6745877,13.088042,-7.964852,3.3797266,-10.577689,4.4632745,-0.45723537,-6.0713353,-3.050431,48.860184,25.464071,16.165743,12.974551,16.085304,11.878225,9.585216,7.5338483,10.45241,8.64926,11.085843,10.507265,8.354285,0.38301602,0.27743834,0.29007322,0.31469494,0.48840365,0.3068141,0.15606089,0.20460175,0.36620447,0.51319855,0.3840736,0.39976564,1970.857832761883,555.584643713411,4133.708337364551,2221.127185641549,0.08303653492647059,107.666015625,0.13393684,folklore_30.wav,folklore
-115.537346,112.25011,-11.858012,27.806454,-2.058635,15.956638,-3.0762994,6.626876,-4.9770536,6.4320693,-5.496629,3.0971274,-4.190162,40.180286,18.958458,18.758013,13.868831,12.720285,11.027009,9.823184,8.765203,8.020237,9.415023,7.3025594,7.012102,6.2690644,0.19578896,0.26393256,0.25355574,0.26276138,0.35834667,0.52127093,0.5972305,0.38931707,0.34714708,0.306541,0.22341277,0.21508029,1757.4291076336208,537.1751317820015,3810.6936239236647,2097.859595068403,0.06252456523316563,99.38401442307692,0.14638233,folklore_31.wav,folklore
-146.20485,118.826454,12.575167,37.727535,13.707258,9.505965,6.9447184,14.667439,-13.156178,3.7488148,4.1223273,3.4117665,4.7828207,52.224075,27.525007,17.159534,13.848466,14.831546,12.885081,10.5031395,9.203263,10.909638,10.244552,10.781173,11.051866,10.40578,0.45481268,0.31511542,0.41112974,0.34891164,0.42957914,0.28615165,0.17040972,0.20232445,0.3416563,0.423721,0.32968926,0.39635825,1491.571069694348,511.06302760213447,3150.3142838138547,2036.3985003424393,0.059620954672987614,112.34714673913044,0.15828304,folklore_32.wav,folklore
-141.58258,98.46145,7.6920357,36.36734,12.94176,3.2864182,6.838397,0.946043,-17.463087,10.059285,-4.4556656,2.53173,-8.767273,51.04083,28.909258,21.321749,13.6991415,14.401952,18.387766,12.462591,9.861884,10.624553,14.670268,8.864262,7.9224353,9.068427,0.29519647,0.2733543,0.29157913,0.27337128,0.31748456,0.24357443,0.31584355,0.30420032,0.25117806,0.28180814,0.27254477,0.42522928,1960.4923891115764,680.6712257795618,4099.733542805486,2317.2789601284294,0.07898364938080496,112.34714673913044,0.12699734,folklore_33.wav,folklore
-46.908077,112.04983,-6.9822826,30.680069,-0.18933573,3.399472,-1.333782,4.181197,-10.061147,4.17747,-4.8174715,-2.8254735,-2.9547863,39.78899,22.533249,17.404633,12.107012,10.287471,11.345923,10.51054,8.259286,9.063078,9.877399,8.040166,9.265054,8.871431,0.27028844,0.40151826,0.27925524,0.20058978,0.27187854,0.2946758,0.42215878,0.35967454,0.47508305,0.46469188,0.3378539,0.30412483,1944.9250964283206,587.5890462679595,3954.0760902428406,2148.7056675947547,0.09490040876547988,117.45383522727273,0.21809033,folklore_34.wav,folklore
-1.2237109,76.50748,-6.1367054,16.483786,9.393761,5.839507,-0.69125193,8.51291,-5.867926,5.4702806,3.1499488,2.8524394,-2.6242661,33.185596,19.413103,16.516123,12.962274,15.926113,9.432956,10.585621,8.596166,8.560309,9.610634,9.487713,8.094846,6.983681,0.23633265,0.31824845,0.3126512,0.4726356,0.5059762,0.2954142,0.25358966,0.2521162,0.34961972,0.35556296,0.3041046,0.27017495,2693.353417681012,574.4854324819155,5822.131461034249,2678.428645629751,0.12423167509191177,99.38401442307692,0.25177187,folklore_35.wav,folklore
-199.36293,151.27615,10.947984,21.600311,-0.0689342,-0.4393669,-6.9183564,-0.5959793,-12.024751,-2.0122712,-10.98019,3.3492792,-5.548228,57.71805,29.834993,19.19601,13.090803,18.905975,10.404083,11.393143,10.611232,10.106198,10.080262,10.713479,9.93552,7.3521094,0.28435326,0.24467263,0.37339294,0.28478247,0.19109097,0.16413814,0.28928876,0.44964445,0.33153945,0.30373123,0.30197006,0.35496277,1238.6519373649667,648.3083664564876,2161.4452633695337,1696.4623630136566,0.05756352191369969,123.046875,0.103488535,folklore_36.wav,folklore
-123.2159,91.96547,9.873525,37.579872,5.3969426,11.190295,0.03866988,5.2095385,-13.4250965,7.731214,-4.465068,2.8773763,-7.0639477,53.523724,31.421803,21.898342,14.936051,17.780514,14.596566,11.860658,9.195722,8.5603,11.3005495,8.773615,8.701045,9.11764,0.24590857,0.27922994,0.3082307,0.266879,0.36939555,0.39919868,0.26047686,0.3180606,0.39086226,0.5886926,0.4082756,0.23691821,2118.3680493834527,842.5997796188279,4670.038427583204,2393.22319276229,0.0901502485245743,112.34714673913044,0.14153326,folklore_37.wav,folklore
-137.11662,108.14207,25.40457,28.320086,-0.10040774,9.913386,-3.294869,9.856671,-12.56476,1.4636477,7.9489226,-9.38313,-0.9870413,74.23883,30.882896,22.002174,16.198914,21.082348,13.405746,13.156756,9.469584,13.508823,12.721974,11.554039,9.681507,9.923641,0.28121537,0.28172332,0.40937904,0.37045854,0.3196303,0.2627388,0.28165096,0.31536913,0.25687236,0.2538922,0.2976134,0.38403946,1802.6018558175676,759.7263921313595,3969.2426651993032,2296.0092659386173,0.06549582466621517,143.5546875,0.16360801,folklore_38.wav,folklore
-46.316418,104.41174,-14.113082,32.88849,13.387527,10.396534,1.7868448,7.8716426,-6.9353986,4.96467,0.4520858,0.7844016,-1.4849567,39.619064,22.658142,15.9197035,11.830007,12.482438,9.315396,8.725093,7.955287,8.584791,9.575827,10.242047,8.072016,6.206785,0.48781243,0.35080126,0.36112857,0.31077233,0.4144454,0.30099005,0.42963937,0.50926095,0.32301244,0.31963116,0.29449558,0.4816155,1987.7874973984983,509.59002196199333,4107.891826806792,2236.558318740199,0.08705200573239164,99.38401442307692,0.20721233,folklore_39.wav,folklore
